obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.19990921020508,30.747506745156546,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 00:00:00,72,0.0,POINT (30.747506745156546 46.19990921020508)
1,0.0,0.0,0.0,0.0,46.196118742666535,30.746299494687403,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 01:00:00,72,0.0,POINT (30.746299494687403 46.196118742666535)
2,0.0,0.0,0.0,0.0,46.19207665671654,30.740100348400055,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 02:00:00,72,0.0,POINT (30.740100348400055 46.19207665671654)
3,0.0,0.0,0.0,0.0,46.19603539713703,30.73816640683652,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 03:00:00,72,0.0,POINT (30.73816640683652 46.19603539713703)
4,0.0,0.0,0.0,0.0,46.194311777852995,30.733827396368827,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 04:00:00,72,0.0,POINT (30.733827396368827 46.194311777852995)
5,0.0,0.0,0.0,0.0,46.19423493662314,30.731716896598762,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 05:00:00,72,0.0,POINT (30.731716896598762 46.19423493662314)
6,0.0,0.0,0.0,0.0,46.19491997936852,30.720384250290238,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 06:00:00,72,0.0,POINT (30.720384250290238 46.19491997936852)
7,0.0,0.0,0.0,0.0,46.19350409068628,30.714490187447954,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 07:00:00,72,0.0,POINT (30.714490187447954 46.19350409068628)
8,0.0,0.0,0.0,0.0,46.18657629499518,30.71109067033403,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 08:00:00,72,0.0,POINT (30.71109067033403 46.18657629499518)
9,0.0,0.0,0.0,0.0,46.185834711612664,30.71235150345475,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 09:00:00,72,0.0,POINT (30.71235150345475 46.185834711612664)
10,0.0,0.0,0.0,0.0,46.18608560331139,30.707185530661164,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 10:00:00,72,0.0,POINT (30.707185530661164 46.18608560331139)
11,0.0,0.0,0.0,0.0,46.184976444309875,30.706250666753427,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 11:00:00,72,0.0,POINT (30.706250666753427 46.184976444309875)
12,0.0,0.0,0.0,0.0,46.18446866431626,30.701069761267824,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 12:00:00,72,0.0,POINT (30.701069761267824 46.18446866431626)
13,0.0,0.0,0.0,0.0,46.184164078521036,30.69589666719662,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 13:00:00,72,0.0,POINT (30.69589666719662 46.184164078521036)
14,0.0,0.0,0.0,0.0,46.18361081496111,30.692804339586413,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 14:00:00,72,0.0,POINT (30.692804339586413 46.18361081496111)
15,0.0,0.0,0.0,0.0,46.186546793996676,30.694202941012147,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 15:00:00,72,0.0,POINT (30.694202941012147 46.186546793996676)
16,0.0,0.0,0.0,0.0,46.18491117867697,30.697799743048037,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 16:00:00,72,0.0,POINT (30.697799743048037 46.18491117867697)
17,0.0,0.0,0.0,0.0,46.179630216969855,30.690763189362514,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 17:00:00,72,0.0,POINT (30.690763189362514 46.179630216969855)
18,0.0,0.0,0.0,0.0,46.179282466322846,30.686454022351832,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 18:00:00,72,0.0,POINT (30.686454022351832 46.179282466322846)
19,0.0,0.0,0.0,0.0,46.18066783350957,30.681988041945978,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 19:00:00,72,0.0,POINT (30.681988041945978 46.18066783350957)
20,0.0,0.0,0.0,0.0,46.18285877868219,30.681413591471557,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 20:00:00,72,0.0,POINT (30.681413591471557 46.18285877868219)
21,0.0,0.0,0.0,0.0,46.18316813541575,30.67322457974884,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 21:00:00,72,0.0,POINT (30.67322457974884 46.18316813541575)
22,0.0,0.0,0.0,0.0,46.181857520637955,30.677177245281666,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 22:00:00,72,0.0,POINT (30.677177245281666 46.181857520637955)
23,0.0,0.0,0.0,0.0,46.188337414976935,30.673756725388838,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-07 23:00:00,72,0.0,POINT (30.673756725388838 46.188337414976935)
24,0.0,0.0,0.0,0.0,46.19107307979575,30.678103996288375,46.19991,30.747507,0.0,46.19991,30.747507,2016-10-08 00:00:00,72,0.0,POINT (30.678103996288375 46.19107307979575)
