obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.19999313354492,30.75224983077264,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 00:00:00,62,0.0,POINT (30.75224983077264 46.19999313354492)
1,0.0,0.0,0.0,0.0,46.19869820990898,30.751470126339154,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 01:00:00,62,0.0,POINT (30.751470126339154 46.19869820990898)
2,0.0,0.0,0.0,0.0,46.193814634128444,30.752035867685024,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 02:00:00,62,0.0,POINT (30.752035867685024 46.193814634128444)
3,0.0,0.0,0.0,0.0,46.1885010541515,30.75598375606653,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 03:00:00,62,0.0,POINT (30.75598375606653 46.1885010541515)
4,0.0,0.0,0.0,0.0,46.18857994593446,30.76152906767306,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 04:00:00,62,0.0,POINT (30.76152906767306 46.18857994593446)
5,0.0,0.0,0.0,0.0,46.18830212013021,30.759839253898615,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 05:00:00,62,0.0,POINT (30.759839253898615 46.18830212013021)
6,0.0,0.0,0.0,0.0,46.188430659033976,30.76287774321471,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 06:00:00,62,0.0,POINT (30.76287774321471 46.188430659033976)
7,0.0,0.0,0.0,0.0,46.19063528311475,30.760294046655936,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 07:00:00,62,0.0,POINT (30.760294046655936 46.19063528311475)
8,0.0,0.0,0.0,0.0,46.19179083922267,30.758157435723096,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 08:00:00,62,0.0,POINT (30.758157435723096 46.19179083922267)
9,0.0,0.0,0.0,0.0,46.191930542151674,30.7558615196084,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 09:00:00,62,0.0,POINT (30.7558615196084 46.191930542151674)
10,0.0,0.0,0.0,0.0,46.19501820334037,30.754003897426173,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 10:00:00,62,0.0,POINT (30.754003897426173 46.19501820334037)
11,0.0,0.0,0.0,0.0,46.1958864499017,30.751895554220493,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 11:00:00,62,0.0,POINT (30.751895554220493 46.1958864499017)
12,0.0,0.0,0.0,0.0,46.19558964517266,30.749912882065672,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 12:00:00,62,0.0,POINT (30.749912882065672 46.19558964517266)
13,0.0,0.0,0.0,0.0,46.19162403297215,30.753987392495393,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 13:00:00,62,0.0,POINT (30.753987392495393 46.19162403297215)
14,0.0,0.0,0.0,0.0,46.19383927980117,30.758385553359574,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 14:00:00,62,0.0,POINT (30.758385553359574 46.19383927980117)
15,0.0,0.0,0.0,0.0,46.19169652301343,30.760883363456454,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 15:00:00,62,0.0,POINT (30.760883363456454 46.19169652301343)
16,0.0,0.0,0.0,0.0,46.188622796505335,30.760998735024387,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 16:00:00,62,0.0,POINT (30.760998735024387 46.188622796505335)
17,0.0,0.0,0.0,0.0,46.18842166237503,30.76484041404045,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 17:00:00,62,0.0,POINT (30.76484041404045 46.18842166237503)
18,0.0,0.0,0.0,0.0,46.1886565621643,30.765175197143094,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 18:00:00,62,0.0,POINT (30.765175197143094 46.1886565621643)
19,0.0,0.0,0.0,0.0,46.18686164314074,30.76082595795599,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 19:00:00,62,0.0,POINT (30.76082595795599 46.18686164314074)
20,0.0,0.0,0.0,0.0,46.185987592791236,30.763411689811853,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 20:00:00,62,0.0,POINT (30.763411689811853 46.185987592791236)
21,0.0,0.0,0.0,0.0,46.18590167296961,30.76179085233861,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 21:00:00,62,0.0,POINT (30.76179085233861 46.18590167296961)
22,0.0,0.0,0.0,0.0,46.186612505930164,30.757354323565323,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 22:00:00,62,0.0,POINT (30.757354323565323 46.186612505930164)
23,0.0,0.0,0.0,0.0,46.1861493994035,30.759716146844,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-06 23:00:00,62,0.0,POINT (30.759716146844 46.1861493994035)
24,0.0,0.0,0.0,0.0,46.18085760550167,30.759723119709783,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 00:00:00,62,0.0,POINT (30.759723119709783 46.18085760550167)
25,0.0,0.0,0.0,0.0,46.176940041380554,30.757365721681605,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 01:00:00,62,0.0,POINT (30.757365721681605 46.176940041380554)
26,0.0,0.0,0.0,0.0,46.174254182034964,30.754939650645362,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 02:00:00,62,0.0,POINT (30.754939650645362 46.174254182034964)
27,0.0,0.0,0.0,0.0,46.17313151933787,30.75577479429978,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 03:00:00,62,0.0,POINT (30.75577479429978 46.17313151933787)
28,0.0,0.0,0.0,0.0,46.171667962998136,30.749589293708127,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 04:00:00,62,0.0,POINT (30.749589293708127 46.171667962998136)
29,0.0,0.0,0.0,0.0,46.171553512927815,30.746162863917444,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 05:00:00,62,0.0,POINT (30.746162863917444 46.171553512927815)
30,0.0,0.0,0.0,0.0,46.170871072138034,30.743823033506292,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 06:00:00,62,0.0,POINT (30.743823033506292 46.170871072138034)
31,0.0,0.0,0.0,0.0,46.16905902744405,30.74855932679299,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 07:00:00,62,0.0,POINT (30.74855932679299 46.16905902744405)
32,0.0,0.0,0.0,0.0,46.168700245486555,30.74340074868269,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 08:00:00,62,0.0,POINT (30.74340074868269 46.168700245486555)
33,0.0,0.0,0.0,0.0,46.16322915265552,30.73584085413612,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 09:00:00,62,0.0,POINT (30.73584085413612 46.16322915265552)
34,0.0,0.0,0.0,0.0,46.16607911721318,30.7282633999087,46.199993,30.75225,0.0,46.199993,30.75225,2016-10-07 10:00:00,62,0.0,POINT (30.7282633999087 46.16607911721318)
