obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.59988021850586,30.749499051909922,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 00:00:00,43,0.0,POINT (30.749499051909922 45.59988021850586)
1,0.0,0.0,0.0,0.0,45.5977753848227,30.75241894996502,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 01:00:00,43,0.0,POINT (30.75241894996502 45.5977753848227)
2,0.0,0.0,0.0,0.0,45.59552029396346,30.74968868352368,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 02:00:00,43,0.0,POINT (30.74968868352368 45.59552029396346)
3,0.0,0.0,0.0,0.0,45.59090881815918,30.74927430101804,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 03:00:00,43,0.0,POINT (30.74927430101804 45.59090881815918)
4,0.0,0.0,0.0,0.0,45.59209389224128,30.74973159955328,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 04:00:00,43,0.0,POINT (30.74973159955328 45.59209389224128)
5,0.0,0.0,0.0,0.0,45.591724327087476,30.74764561169164,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 05:00:00,43,0.0,POINT (30.74764561169164 45.591724327087476)
6,0.0,0.0,0.0,0.0,45.595508345132124,30.75097589846286,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 06:00:00,43,0.0,POINT (30.75097589846286 45.595508345132124)
7,0.0,0.0,0.0,0.0,45.59588278572434,30.74839562355864,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 07:00:00,43,0.0,POINT (30.74839562355864 45.59588278572434)
8,0.0,0.0,0.0,0.0,45.595456136038784,30.75230879586061,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 08:00:00,43,0.0,POINT (30.75230879586061 45.595456136038784)
9,0.0,0.0,0.0,0.0,45.597076195724625,30.748284376888567,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 09:00:00,43,0.0,POINT (30.748284376888567 45.597076195724625)
10,0.0,0.0,0.0,0.0,45.598383598102124,30.747436493842805,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 10:00:00,43,0.0,POINT (30.747436493842805 45.598383598102124)
11,0.0,0.0,0.0,0.0,45.598284747724755,30.74741046319033,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 11:00:00,43,0.0,POINT (30.74741046319033 45.598284747724755)
12,0.0,0.0,0.0,0.0,45.60192484311697,30.74919482446093,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 12:00:00,43,0.0,POINT (30.74919482446093 45.60192484311697)
13,0.0,0.0,0.0,0.0,45.60586522396434,30.7426043967394,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 13:00:00,43,0.0,POINT (30.7426043967394 45.60586522396434)
14,0.0,0.0,0.0,0.0,45.603778688915156,30.744279394393097,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 14:00:00,43,0.0,POINT (30.744279394393097 45.603778688915156)
15,0.0,0.0,0.0,0.0,45.602685539069846,30.7485958406898,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 15:00:00,43,0.0,POINT (30.7485958406898 45.602685539069846)
16,0.0,0.0,0.0,0.0,45.60353640641095,30.74925746857904,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 16:00:00,43,0.0,POINT (30.74925746857904 45.60353640641095)
17,0.0,0.0,0.0,0.0,45.60252517210276,30.749061194351373,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 17:00:00,43,0.0,POINT (30.749061194351373 45.60252517210276)
18,0.0,0.0,0.0,0.0,45.60242183269992,30.755017057021828,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 18:00:00,43,0.0,POINT (30.755017057021828 45.60242183269992)
19,0.0,0.0,0.0,0.0,45.60175557552875,30.75331557845206,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 19:00:00,43,0.0,POINT (30.75331557845206 45.60175557552875)
20,0.0,0.0,0.0,0.0,45.60368865079212,30.746028055999798,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 20:00:00,43,0.0,POINT (30.746028055999798 45.60368865079212)
21,0.0,0.0,0.0,0.0,45.602540190682994,30.73696110879028,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 21:00:00,43,0.0,POINT (30.73696110879028 45.602540190682994)
22,0.0,0.0,0.0,0.0,45.59705290987516,30.730127203159494,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 22:00:00,43,0.0,POINT (30.730127203159494 45.59705290987516)
23,0.0,0.0,0.0,0.0,45.6013652664622,30.72581356537612,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-06 23:00:00,43,0.0,POINT (30.72581356537612 45.6013652664622)
24,0.0,0.0,0.0,0.0,45.603650655406504,30.722491751210832,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 00:00:00,43,0.0,POINT (30.722491751210832 45.603650655406504)
25,0.0,0.0,0.0,0.0,45.60378684691699,30.72214451546605,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 01:00:00,43,0.0,POINT (30.72214451546605 45.60378684691699)
26,0.0,0.0,0.0,0.0,45.606556887187146,30.71691918609483,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 02:00:00,43,0.0,POINT (30.71691918609483 45.606556887187146)
27,0.0,0.0,0.0,0.0,45.60958832050967,30.718180424852843,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 03:00:00,43,0.0,POINT (30.718180424852843 45.60958832050967)
28,0.0,0.0,0.0,0.0,45.616748800030464,30.715844388082814,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 04:00:00,43,0.0,POINT (30.715844388082814 45.616748800030464)
29,0.0,0.0,0.0,0.0,45.61798508469175,30.71069279057454,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 05:00:00,43,0.0,POINT (30.71069279057454 45.61798508469175)
30,0.0,0.0,0.0,0.0,45.619127857051986,30.706566756596786,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 06:00:00,43,0.0,POINT (30.706566756596786 45.619127857051986)
31,0.0,0.0,0.0,0.0,45.62077752102347,30.697740307188656,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 07:00:00,43,0.0,POINT (30.697740307188656 45.62077752102347)
32,0.0,0.0,0.0,0.0,45.62183404949405,30.69700808733053,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 08:00:00,43,0.0,POINT (30.69700808733053 45.62183404949405)
33,0.0,0.0,0.0,0.0,45.62217056625957,30.69882711618861,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 09:00:00,43,0.0,POINT (30.69882711618861 45.62217056625957)
34,0.0,0.0,0.0,0.0,45.61868422663634,30.691355442527165,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 10:00:00,43,0.0,POINT (30.691355442527165 45.61868422663634)
35,0.0,0.0,0.0,0.0,45.61882922878976,30.684804015401443,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 11:00:00,43,0.0,POINT (30.684804015401443 45.61882922878976)
36,0.0,0.0,0.0,0.0,45.61893313689992,30.684151636232677,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 12:00:00,43,0.0,POINT (30.684151636232677 45.61893313689992)
37,0.0,0.0,0.0,0.0,45.618072100885676,30.674698894880937,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 13:00:00,43,0.0,POINT (30.674698894880937 45.618072100885676)
38,0.0,0.0,0.0,0.0,45.61669212738183,30.666050572416424,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 14:00:00,43,0.0,POINT (30.666050572416424 45.61669212738183)
39,0.0,0.0,0.0,0.0,45.61684238788,30.661576694439045,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 15:00:00,43,0.0,POINT (30.661576694439045 45.61684238788)
40,0.0,0.0,0.0,0.0,45.61709619014679,30.662426936204536,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 16:00:00,43,0.0,POINT (30.662426936204536 45.61709619014679)
41,0.0,0.0,0.0,0.0,45.620775929635684,30.654400723331744,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 17:00:00,43,0.0,POINT (30.654400723331744 45.620775929635684)
42,0.0,0.0,0.0,0.0,45.624489351681234,30.654193182278092,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 18:00:00,43,0.0,POINT (30.654193182278092 45.624489351681234)
43,0.0,0.0,0.0,0.0,45.629645225679525,30.65097805747111,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 19:00:00,43,0.0,POINT (30.65097805747111 45.629645225679525)
44,0.0,0.0,0.0,0.0,45.62684626667524,30.64917885919842,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 20:00:00,43,0.0,POINT (30.64917885919842 45.62684626667524)
45,0.0,0.0,0.0,0.0,45.62000176756883,30.639379013847755,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 21:00:00,43,0.0,POINT (30.639379013847755 45.62000176756883)
46,0.0,0.0,0.0,0.0,45.61713176820587,30.63288125898181,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 22:00:00,43,0.0,POINT (30.63288125898181 45.61713176820587)
47,0.0,0.0,0.0,0.0,45.6176573063017,30.625924027980833,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-07 23:00:00,43,0.0,POINT (30.625924027980833 45.6176573063017)
48,0.0,0.0,0.0,0.0,45.61710224887886,30.621601140633857,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 00:00:00,43,0.0,POINT (30.621601140633857 45.61710224887886)
49,0.0,0.0,0.0,0.0,45.61757395080217,30.6177911480472,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 01:00:00,43,0.0,POINT (30.6177911480472 45.61757395080217)
50,0.0,0.0,0.0,0.0,45.61274377956519,30.61488047998788,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 02:00:00,43,0.0,POINT (30.61488047998788 45.61274377956519)
51,0.0,0.0,0.0,0.0,45.61011493631224,30.61105427657782,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 03:00:00,43,0.0,POINT (30.61105427657782 45.61011493631224)
52,0.0,0.0,0.0,0.0,45.60535922183962,30.60434222994072,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 04:00:00,43,0.0,POINT (30.60434222994072 45.60535922183962)
53,0.0,0.0,0.0,0.0,45.60249586781823,30.599594021586586,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 05:00:00,43,0.0,POINT (30.599594021586586 45.60249586781823)
54,0.0,0.0,0.0,0.0,45.600661479581184,30.594220418643186,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 06:00:00,43,0.0,POINT (30.594220418643186 45.600661479581184)
55,0.0,0.0,0.0,0.0,45.60147853411751,30.587663188640967,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 07:00:00,43,0.0,POINT (30.587663188640967 45.60147853411751)
56,0.0,0.0,0.0,0.0,45.59606893750254,30.584682901603802,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 08:00:00,43,0.0,POINT (30.584682901603802 45.59606893750254)
57,0.0,0.0,0.0,0.0,45.59209338377012,30.58007732411132,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 09:00:00,43,0.0,POINT (30.58007732411132 45.59209338377012)
58,0.0,0.0,0.0,0.0,45.59362830782838,30.57679185592429,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 10:00:00,43,0.0,POINT (30.57679185592429 45.59362830782838)
59,0.0,0.0,0.0,0.0,45.5969002225405,30.575332521594373,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 11:00:00,43,0.0,POINT (30.575332521594373 45.5969002225405)
60,0.0,0.0,0.0,0.0,45.60223948979374,30.574971787826875,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 12:00:00,43,0.0,POINT (30.574971787826875 45.60223948979374)
61,0.0,0.0,0.0,0.0,45.60220211995288,30.57096566980381,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 13:00:00,43,0.0,POINT (30.57096566980381 45.60220211995288)
62,0.0,0.0,0.0,0.0,45.60580672790571,30.580748185961177,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 14:00:00,43,0.0,POINT (30.580748185961177 45.60580672790571)
63,0.0,0.0,0.0,0.0,45.604809676758414,30.586505408660727,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 15:00:00,43,0.0,POINT (30.586505408660727 45.604809676758414)
64,0.0,0.0,0.0,0.0,45.603752543074606,30.589632110199688,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 16:00:00,43,0.0,POINT (30.589632110199688 45.603752543074606)
65,0.0,0.0,0.0,0.0,45.603646031903445,30.601203332312863,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 17:00:00,43,0.0,POINT (30.601203332312863 45.603646031903445)
66,0.0,0.0,0.0,0.0,45.59855007613792,30.61176875034266,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 18:00:00,43,0.0,POINT (30.61176875034266 45.59855007613792)
67,0.0,0.0,0.0,0.0,45.59055781318045,30.624220979269626,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 19:00:00,43,0.0,POINT (30.624220979269626 45.59055781318045)
68,0.0,0.0,0.0,0.0,45.59018252321123,30.640147759925764,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 20:00:00,43,0.0,POINT (30.640147759925764 45.59018252321123)
69,0.0,0.0,0.0,0.0,45.58541271553949,30.651712475266013,45.59988,30.749498,0.0,45.59988,30.749498,2016-10-08 21:00:00,43,0.0,POINT (30.651712475266013 45.58541271553949)
