obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.60011672973633,30.748838864603083,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 00:00:00,52,0.0,POINT (30.748838864603083 45.60011672973633)
1,0.0,0.0,0.0,0.0,45.59873641084026,30.74600435306516,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 01:00:00,52,0.0,POINT (30.74600435306516 45.59873641084026)
2,0.0,0.0,0.0,0.0,45.599910821415754,30.74862957398719,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 02:00:00,52,0.0,POINT (30.74862957398719 45.599910821415754)
3,0.0,0.0,0.0,0.0,45.604826261803964,30.74643385889132,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 03:00:00,52,0.0,POINT (30.74643385889132 45.604826261803964)
4,0.0,0.0,0.0,0.0,45.60766600853726,30.750358738004184,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 04:00:00,52,0.0,POINT (30.750358738004184 45.60766600853726)
5,0.0,0.0,0.0,0.0,45.60690861628633,30.75283343490386,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 05:00:00,52,0.0,POINT (30.75283343490386 45.60690861628633)
6,0.0,0.0,0.0,0.0,45.60967367951134,30.748974217226635,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 06:00:00,52,0.0,POINT (30.748974217226635 45.60967367951134)
7,0.0,0.0,0.0,0.0,45.607997840023934,30.749499251314013,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 07:00:00,52,0.0,POINT (30.749499251314013 45.607997840023934)
8,0.0,0.0,0.0,0.0,45.61143123897262,30.741541440965584,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 08:00:00,52,0.0,POINT (30.741541440965584 45.61143123897262)
9,0.0,0.0,0.0,0.0,45.60880190332527,30.7358543286702,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 09:00:00,52,0.0,POINT (30.7358543286702 45.60880190332527)
10,0.0,0.0,0.0,0.0,45.6103681598194,30.734952199744868,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 10:00:00,52,0.0,POINT (30.734952199744868 45.6103681598194)
11,0.0,0.0,0.0,0.0,45.61124371252241,30.732419954088765,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 11:00:00,52,0.0,POINT (30.732419954088765 45.61124371252241)
12,0.0,0.0,0.0,0.0,45.609385490305115,30.728001365529195,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 12:00:00,52,0.0,POINT (30.728001365529195 45.609385490305115)
13,0.0,0.0,0.0,0.0,45.61347974481458,30.72301502850411,45.600117,30.748838,0.0,45.600117,30.748838,2016-10-07 13:00:00,52,0.0,POINT (30.72301502850411 45.61347974481458)
