obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.20008087158203,30.749034759123703,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 00:00:00,69,0.0,POINT (30.749034759123703 46.20008087158203)
1,0.0,0.0,0.0,0.0,46.20402728801534,30.745120217692513,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 01:00:00,69,0.0,POINT (30.745120217692513 46.20402728801534)
2,0.0,0.0,0.0,0.0,46.20881306187823,30.745676035816132,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 02:00:00,69,0.0,POINT (30.745676035816132 46.20881306187823)
3,0.0,0.0,0.0,0.0,46.21261016579906,30.740186167959237,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 03:00:00,69,0.0,POINT (30.740186167959237 46.21261016579906)
4,0.0,0.0,0.0,0.0,46.21185008781708,30.743525096954986,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 04:00:00,69,0.0,POINT (30.743525096954986 46.21185008781708)
5,0.0,0.0,0.0,0.0,46.20733209584698,30.74476692809223,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 05:00:00,69,0.0,POINT (30.74476692809223 46.20733209584698)
6,0.0,0.0,0.0,0.0,46.20914669461992,30.749535517073898,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 06:00:00,69,0.0,POINT (30.749535517073898 46.20914669461992)
7,0.0,0.0,0.0,0.0,46.21078451913865,30.750107436073936,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 07:00:00,69,0.0,POINT (30.750107436073936 46.21078451913865)
8,0.0,0.0,0.0,0.0,46.21296013843233,30.746710914601984,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 08:00:00,69,0.0,POINT (30.746710914601984 46.21296013843233)
9,0.0,0.0,0.0,0.0,46.209996009975605,30.746203972602256,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 09:00:00,69,0.0,POINT (30.746203972602256 46.209996009975605)
10,0.0,0.0,0.0,0.0,46.205875226196355,30.744334127007445,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 10:00:00,69,0.0,POINT (30.744334127007445 46.205875226196355)
11,0.0,0.0,0.0,0.0,46.20701335047456,30.741969709249673,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 11:00:00,69,0.0,POINT (30.741969709249673 46.20701335047456)
12,0.0,0.0,0.0,0.0,46.20909943477942,30.738022911164926,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 12:00:00,69,0.0,POINT (30.738022911164926 46.20909943477942)
13,0.0,0.0,0.0,0.0,46.207921128219745,30.738479353840056,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 13:00:00,69,0.0,POINT (30.738479353840056 46.207921128219745)
14,0.0,0.0,0.0,0.0,46.206035612341395,30.73899806945602,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 14:00:00,69,0.0,POINT (30.73899806945602 46.206035612341395)
15,0.0,0.0,0.0,0.0,46.20223965236107,30.73728202965704,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 15:00:00,69,0.0,POINT (30.73728202965704 46.20223965236107)
16,0.0,0.0,0.0,0.0,46.19971406990106,30.738015921819027,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 16:00:00,69,0.0,POINT (30.738015921819027 46.19971406990106)
17,0.0,0.0,0.0,0.0,46.201493065360225,30.73731531352895,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 17:00:00,69,0.0,POINT (30.73731531352895 46.201493065360225)
18,0.0,0.0,0.0,0.0,46.19735530481801,30.733593850291417,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 18:00:00,69,0.0,POINT (30.733593850291417 46.19735530481801)
19,0.0,0.0,0.0,0.0,46.194923680417055,30.725310109547905,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 19:00:00,69,0.0,POINT (30.725310109547905 46.194923680417055)
20,0.0,0.0,0.0,0.0,46.19380327272514,30.726868007474327,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 20:00:00,69,0.0,POINT (30.726868007474327 46.19380327272514)
21,0.0,0.0,0.0,0.0,46.191924532543254,30.724693448446093,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 21:00:00,69,0.0,POINT (30.724693448446093 46.191924532543254)
22,0.0,0.0,0.0,0.0,46.196205318153304,30.72379822232046,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 22:00:00,69,0.0,POINT (30.72379822232046 46.196205318153304)
23,0.0,0.0,0.0,0.0,46.19536645135716,30.717450177403386,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-06 23:00:00,69,0.0,POINT (30.717450177403386 46.19536645135716)
24,0.0,0.0,0.0,0.0,46.193451859085236,30.714345213247565,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 00:00:00,69,0.0,POINT (30.714345213247565 46.193451859085236)
25,0.0,0.0,0.0,0.0,46.191064420306105,30.71177921621525,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 01:00:00,69,0.0,POINT (30.71177921621525 46.191064420306105)
26,0.0,0.0,0.0,0.0,46.19053652321109,30.706909945520515,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 02:00:00,69,0.0,POINT (30.706909945520515 46.19053652321109)
27,0.0,0.0,0.0,0.0,46.18861193756186,30.70271866175443,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 03:00:00,69,0.0,POINT (30.70271866175443 46.18861193756186)
28,0.0,0.0,0.0,0.0,46.18847233209067,30.702615127898618,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 04:00:00,69,0.0,POINT (30.702615127898618 46.18847233209067)
29,0.0,0.0,0.0,0.0,46.180279352136175,30.696781706615376,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 05:00:00,69,0.0,POINT (30.696781706615376 46.180279352136175)
30,0.0,0.0,0.0,0.0,46.17660490728765,30.694820638564018,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 06:00:00,69,0.0,POINT (30.694820638564018 46.17660490728765)
31,0.0,0.0,0.0,0.0,46.17540021928878,30.696068107959093,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 07:00:00,69,0.0,POINT (30.696068107959093 46.17540021928878)
32,0.0,0.0,0.0,0.0,46.17168904937108,30.69402989753274,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 08:00:00,69,0.0,POINT (30.69402989753274 46.17168904937108)
33,0.0,0.0,0.0,0.0,46.17140097362275,30.69400409738138,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 09:00:00,69,0.0,POINT (30.69400409738138 46.17140097362275)
34,0.0,0.0,0.0,0.0,46.16483753440079,30.69556183610664,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 10:00:00,69,0.0,POINT (30.69556183610664 46.16483753440079)
35,0.0,0.0,0.0,0.0,46.169712540255816,30.69381796161322,46.20008,30.749035,0.0,46.20008,30.749035,2016-10-07 11:00:00,69,0.0,POINT (30.69381796161322 46.169712540255816)
