obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.60005187988281,30.74910069549078,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 00:00:00,47,0.0,POINT (30.74910069549078 45.60005187988281)
1,0.0,0.0,0.0,0.0,45.59931502045942,30.750888481168193,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 01:00:00,47,0.0,POINT (30.750888481168193 45.59931502045942)
2,0.0,0.0,0.0,0.0,45.59611968102861,30.75375092738789,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 02:00:00,47,0.0,POINT (30.75375092738789 45.59611968102861)
3,0.0,0.0,0.0,0.0,45.59732957944634,30.749104297682795,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 03:00:00,47,0.0,POINT (30.749104297682795 45.59732957944634)
4,0.0,0.0,0.0,0.0,45.5962200430838,30.754590467039606,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 04:00:00,47,0.0,POINT (30.754590467039606 45.5962200430838)
5,0.0,0.0,0.0,0.0,45.59324078731891,30.75802110734737,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 05:00:00,47,0.0,POINT (30.75802110734737 45.59324078731891)
6,0.0,0.0,0.0,0.0,45.59311049616836,30.75719951759239,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 06:00:00,47,0.0,POINT (30.75719951759239 45.59311049616836)
7,0.0,0.0,0.0,0.0,45.59382397141601,30.754550960433868,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 07:00:00,47,0.0,POINT (30.754550960433868 45.59382397141601)
8,0.0,0.0,0.0,0.0,45.592788039769324,30.7530428549361,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 08:00:00,47,0.0,POINT (30.7530428549361 45.592788039769324)
9,0.0,0.0,0.0,0.0,45.59472908973863,30.75146083077096,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 09:00:00,47,0.0,POINT (30.75146083077096 45.59472908973863)
10,0.0,0.0,0.0,0.0,45.59415996943306,30.754123219909083,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 10:00:00,47,0.0,POINT (30.754123219909083 45.59415996943306)
11,0.0,0.0,0.0,0.0,45.593786394684805,30.757521864560218,45.60005,30.749102,0.0,45.60005,30.749102,2016-10-06 11:00:00,47,0.0,POINT (30.757521864560218 45.593786394684805)
