obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.600032806396484,30.74759563147825,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 00:00:00,48,0.0,POINT (30.74759563147825 45.600032806396484)
1,0.0,0.0,0.0,0.0,45.5976310992215,30.749568071631348,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 01:00:00,48,0.0,POINT (30.749568071631348 45.5976310992215)
2,0.0,0.0,0.0,0.0,45.600078390359016,30.74416796786291,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 02:00:00,48,0.0,POINT (30.74416796786291 45.600078390359016)
3,0.0,0.0,0.0,0.0,45.59574067316504,30.747171238496282,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 03:00:00,48,0.0,POINT (30.747171238496282 45.59574067316504)
4,0.0,0.0,0.0,0.0,45.5979412090842,30.75140302352356,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 04:00:00,48,0.0,POINT (30.75140302352356 45.5979412090842)
5,0.0,0.0,0.0,0.0,45.60061326884087,30.751581064025544,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 05:00:00,48,0.0,POINT (30.751581064025544 45.60061326884087)
6,0.0,0.0,0.0,0.0,45.599640839965815,30.755552698133613,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 06:00:00,48,0.0,POINT (30.755552698133613 45.599640839965815)
7,0.0,0.0,0.0,0.0,45.59935917284019,30.753156817188174,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 07:00:00,48,0.0,POINT (30.753156817188174 45.59935917284019)
8,0.0,0.0,0.0,0.0,45.603278907530516,30.75535744072187,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 08:00:00,48,0.0,POINT (30.75535744072187 45.603278907530516)
9,0.0,0.0,0.0,0.0,45.605300903497906,30.755789551657905,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 09:00:00,48,0.0,POINT (30.755789551657905 45.605300903497906)
10,0.0,0.0,0.0,0.0,45.60226875316845,30.755350795572586,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 10:00:00,48,0.0,POINT (30.755350795572586 45.60226875316845)
11,0.0,0.0,0.0,0.0,45.602217322278996,30.755164777473777,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 11:00:00,48,0.0,POINT (30.755164777473777 45.602217322278996)
12,0.0,0.0,0.0,0.0,45.60517748983865,30.757719910028534,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 12:00:00,48,0.0,POINT (30.757719910028534 45.60517748983865)
13,0.0,0.0,0.0,0.0,45.60656011031763,30.755719036164983,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 13:00:00,48,0.0,POINT (30.755719036164983 45.60656011031763)
14,0.0,0.0,0.0,0.0,45.61157297010329,30.751209739058368,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 14:00:00,48,0.0,POINT (30.751209739058368 45.61157297010329)
15,0.0,0.0,0.0,0.0,45.610308423630514,30.75404772804959,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 15:00:00,48,0.0,POINT (30.75404772804959 45.610308423630514)
16,0.0,0.0,0.0,0.0,45.60918930142251,30.7550287820129,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 16:00:00,48,0.0,POINT (30.7550287820129 45.60918930142251)
17,0.0,0.0,0.0,0.0,45.60558244549478,30.748199243331527,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 17:00:00,48,0.0,POINT (30.748199243331527 45.60558244549478)
18,0.0,0.0,0.0,0.0,45.6010170404712,30.748069374603205,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 18:00:00,48,0.0,POINT (30.748069374603205 45.6010170404712)
19,0.0,0.0,0.0,0.0,45.601007169133766,30.74900566632424,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 19:00:00,48,0.0,POINT (30.74900566632424 45.601007169133766)
20,0.0,0.0,0.0,0.0,45.598409329691464,30.748039799645642,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 20:00:00,48,0.0,POINT (30.748039799645642 45.598409329691464)
21,0.0,0.0,0.0,0.0,45.60223676401989,30.744528907804487,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 21:00:00,48,0.0,POINT (30.744528907804487 45.60223676401989)
22,0.0,0.0,0.0,0.0,45.602243873877654,30.74713874818908,45.600033,30.747595,0.0,45.600033,30.747595,2016-10-06 22:00:00,48,0.0,POINT (30.74713874818908 45.602243873877654)
