obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.19989776611328,30.75231314976858,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 00:00:00,73,0.0,POINT (30.75231314976858 46.19989776611328)
1,0.0,0.0,0.0,0.0,46.20061053587071,30.754906579219032,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 01:00:00,73,0.0,POINT (30.754906579219032 46.20061053587071)
2,0.0,0.0,0.0,0.0,46.196689395207954,30.75150145504418,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 02:00:00,73,0.0,POINT (30.75150145504418 46.196689395207954)
3,0.0,0.0,0.0,0.0,46.19703848786571,30.75138684766412,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 03:00:00,73,0.0,POINT (30.75138684766412 46.19703848786571)
4,0.0,0.0,0.0,0.0,46.19713932796473,30.74890351570786,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 04:00:00,73,0.0,POINT (30.74890351570786 46.19713932796473)
5,0.0,0.0,0.0,0.0,46.19822632461889,30.742941734983948,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 05:00:00,73,0.0,POINT (30.742941734983948 46.19822632461889)
6,0.0,0.0,0.0,0.0,46.19716981208655,30.740593538755657,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 06:00:00,73,0.0,POINT (30.740593538755657 46.19716981208655)
7,0.0,0.0,0.0,0.0,46.19416221222362,30.73959290519168,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 07:00:00,73,0.0,POINT (30.73959290519168 46.19416221222362)
8,0.0,0.0,0.0,0.0,46.19283639668731,30.736001164183847,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 08:00:00,73,0.0,POINT (30.736001164183847 46.19283639668731)
9,0.0,0.0,0.0,0.0,46.189432652310636,30.732839485339586,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 09:00:00,73,0.0,POINT (30.732839485339586 46.189432652310636)
10,0.0,0.0,0.0,0.0,46.185844891317956,30.72834599897619,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 10:00:00,73,0.0,POINT (30.72834599897619 46.185844891317956)
11,0.0,0.0,0.0,0.0,46.18496365927692,30.725204896049405,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 11:00:00,73,0.0,POINT (30.725204896049405 46.18496365927692)
12,0.0,0.0,0.0,0.0,46.18514164938362,30.722704949307417,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 12:00:00,73,0.0,POINT (30.722704949307417 46.18514164938362)
13,0.0,0.0,0.0,0.0,46.18159495933331,30.722362442593653,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 13:00:00,73,0.0,POINT (30.722362442593653 46.18159495933331)
14,0.0,0.0,0.0,0.0,46.178848657391924,30.713697745798495,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 14:00:00,73,0.0,POINT (30.713697745798495 46.178848657391924)
15,0.0,0.0,0.0,0.0,46.1749985755262,30.71298755524491,46.199898,30.752314,0.0,46.199898,30.752314,2016-10-07 15:00:00,73,0.0,POINT (30.71298755524491 46.1749985755262)
