obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.59982681274414,30.752038919870056,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 00:00:00,55,0.0,POINT (30.752038919870056 45.59982681274414)
1,0.0,0.0,0.0,0.0,45.60284371899282,30.743229756662313,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 01:00:00,55,0.0,POINT (30.743229756662313 45.60284371899282)
2,0.0,0.0,0.0,0.0,45.602812597919154,30.74136290851991,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 02:00:00,55,0.0,POINT (30.74136290851991 45.602812597919154)
3,0.0,0.0,0.0,0.0,45.60608620405777,30.74062520587726,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 03:00:00,55,0.0,POINT (30.74062520587726 45.60608620405777)
4,0.0,0.0,0.0,0.0,45.60701663283442,30.736449069976537,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 04:00:00,55,0.0,POINT (30.736449069976537 45.60701663283442)
5,0.0,0.0,0.0,0.0,45.604507949103095,30.73357348098126,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 05:00:00,55,0.0,POINT (30.73357348098126 45.604507949103095)
6,0.0,0.0,0.0,0.0,45.60843662783706,30.731479887732508,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 06:00:00,55,0.0,POINT (30.731479887732508 45.60843662783706)
7,0.0,0.0,0.0,0.0,45.60777964192967,30.730166585619216,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 07:00:00,55,0.0,POINT (30.730166585619216 45.60777964192967)
8,0.0,0.0,0.0,0.0,45.6085857207733,30.72721848765435,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 08:00:00,55,0.0,POINT (30.72721848765435 45.6085857207733)
9,0.0,0.0,0.0,0.0,45.61307109822275,30.719507464985785,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 09:00:00,55,0.0,POINT (30.719507464985785 45.61307109822275)
10,0.0,0.0,0.0,0.0,45.61120040179611,30.7140671498681,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 10:00:00,55,0.0,POINT (30.7140671498681 45.61120040179611)
11,0.0,0.0,0.0,0.0,45.61143011048251,30.706830529137342,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 11:00:00,55,0.0,POINT (30.706830529137342 45.61143011048251)
12,0.0,0.0,0.0,0.0,45.61292805998534,30.707485732031728,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 12:00:00,55,0.0,POINT (30.707485732031728 45.61292805998534)
13,0.0,0.0,0.0,0.0,45.61661844514365,30.703908023744404,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 13:00:00,55,0.0,POINT (30.703908023744404 45.61661844514365)
14,0.0,0.0,0.0,0.0,45.619766157230096,30.69820897153513,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 14:00:00,55,0.0,POINT (30.69820897153513 45.619766157230096)
15,0.0,0.0,0.0,0.0,45.624351017709806,30.689161525367727,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 15:00:00,55,0.0,POINT (30.689161525367727 45.624351017709806)
16,0.0,0.0,0.0,0.0,45.622889424346056,30.683944739966268,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 16:00:00,55,0.0,POINT (30.683944739966268 45.622889424346056)
17,0.0,0.0,0.0,0.0,45.62334308115073,30.68069339136101,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 17:00:00,55,0.0,POINT (30.68069339136101 45.62334308115073)
18,0.0,0.0,0.0,0.0,45.626059091646695,30.67327665137558,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 18:00:00,55,0.0,POINT (30.67327665137558 45.626059091646695)
19,0.0,0.0,0.0,0.0,45.62785532764096,30.67136509694807,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 19:00:00,55,0.0,POINT (30.67136509694807 45.62785532764096)
20,0.0,0.0,0.0,0.0,45.6335642863671,30.662394549636954,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 20:00:00,55,0.0,POINT (30.662394549636954 45.6335642863671)
21,0.0,0.0,0.0,0.0,45.629286309088144,30.65454239846297,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 21:00:00,55,0.0,POINT (30.65454239846297 45.629286309088144)
22,0.0,0.0,0.0,0.0,45.62896529215403,30.64641288918337,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 22:00:00,55,0.0,POINT (30.64641288918337 45.62896529215403)
23,0.0,0.0,0.0,0.0,45.626472444687955,30.63889372454687,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-07 23:00:00,55,0.0,POINT (30.63889372454687 45.626472444687955)
24,0.0,0.0,0.0,0.0,45.627581332354815,30.63570949481959,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 00:00:00,55,0.0,POINT (30.63570949481959 45.627581332354815)
25,0.0,0.0,0.0,0.0,45.623033564873374,30.62896417294502,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 01:00:00,55,0.0,POINT (30.62896417294502 45.623033564873374)
26,0.0,0.0,0.0,0.0,45.61641863739738,30.628941143319782,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 02:00:00,55,0.0,POINT (30.628941143319782 45.61641863739738)
27,0.0,0.0,0.0,0.0,45.61442633216694,30.623380237405645,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 03:00:00,55,0.0,POINT (30.623380237405645 45.61442633216694)
28,0.0,0.0,0.0,0.0,45.61039176650708,30.61868506145693,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 04:00:00,55,0.0,POINT (30.61868506145693 45.61039176650708)
29,0.0,0.0,0.0,0.0,45.60921989761801,30.607088019925527,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 05:00:00,55,0.0,POINT (30.607088019925527 45.60921989761801)
30,0.0,0.0,0.0,0.0,45.60784316502559,30.59581293715337,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 06:00:00,55,0.0,POINT (30.59581293715337 45.60784316502559)
31,0.0,0.0,0.0,0.0,45.60992041797492,30.591111422272437,45.599827,30.752039,0.0,45.599827,30.752039,2016-10-08 07:00:00,55,0.0,POINT (30.591111422272437 45.60992041797492)
