obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.5999755859375,30.74658053615472,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 00:00:00,51,0.0,POINT (30.74658053615472 45.5999755859375)
1,0.0,0.0,0.0,0.0,45.600901028024474,30.742899924163368,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 01:00:00,51,0.0,POINT (30.742899924163368 45.600901028024474)
2,0.0,0.0,0.0,0.0,45.599947933720124,30.741633789570923,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 02:00:00,51,0.0,POINT (30.741633789570923 45.599947933720124)
3,0.0,0.0,0.0,0.0,45.60412965225518,30.73575523110897,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 03:00:00,51,0.0,POINT (30.73575523110897 45.60412965225518)
4,0.0,0.0,0.0,0.0,45.60573142518735,30.736055290783046,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 04:00:00,51,0.0,POINT (30.736055290783046 45.60573142518735)
5,0.0,0.0,0.0,0.0,45.60804572610175,30.733626466645617,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 05:00:00,51,0.0,POINT (30.733626466645617 45.60804572610175)
6,0.0,0.0,0.0,0.0,45.61173727327547,30.72501526388257,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 06:00:00,51,0.0,POINT (30.72501526388257 45.61173727327547)
7,0.0,0.0,0.0,0.0,45.615978044557416,30.728049642409186,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 07:00:00,51,0.0,POINT (30.728049642409186 45.615978044557416)
8,0.0,0.0,0.0,0.0,45.62203213016173,30.72651656110973,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 08:00:00,51,0.0,POINT (30.72651656110973 45.62203213016173)
9,0.0,0.0,0.0,0.0,45.62717968276668,30.717613263376574,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 09:00:00,51,0.0,POINT (30.717613263376574 45.62717968276668)
10,0.0,0.0,0.0,0.0,45.62922104646477,30.71364551992126,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 10:00:00,51,0.0,POINT (30.71364551992126 45.62922104646477)
11,0.0,0.0,0.0,0.0,45.634727247009934,30.7054689482518,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 11:00:00,51,0.0,POINT (30.7054689482518 45.634727247009934)
12,0.0,0.0,0.0,0.0,45.6330510539019,30.69910404430563,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 12:00:00,51,0.0,POINT (30.69910404430563 45.6330510539019)
13,0.0,0.0,0.0,0.0,45.6328548320937,30.69120248206614,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 13:00:00,51,0.0,POINT (30.69120248206614 45.6328548320937)
14,0.0,0.0,0.0,0.0,45.63623777409866,30.68870483392287,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 14:00:00,51,0.0,POINT (30.68870483392287 45.63623777409866)
15,0.0,0.0,0.0,0.0,45.63563252607405,30.680402998397113,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 15:00:00,51,0.0,POINT (30.680402998397113 45.63563252607405)
16,0.0,0.0,0.0,0.0,45.63792525658097,30.67179532312768,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 16:00:00,51,0.0,POINT (30.67179532312768 45.63792525658097)
17,0.0,0.0,0.0,0.0,45.640623790643524,30.66683354207484,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 17:00:00,51,0.0,POINT (30.66683354207484 45.640623790643524)
18,0.0,0.0,0.0,0.0,45.642638109208356,30.656518444603012,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 18:00:00,51,0.0,POINT (30.656518444603012 45.642638109208356)
19,0.0,0.0,0.0,0.0,45.645090135453295,30.648782357557163,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 19:00:00,51,0.0,POINT (30.648782357557163 45.645090135453295)
20,0.0,0.0,0.0,0.0,45.64289072702031,30.640599609781372,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 20:00:00,51,0.0,POINT (30.640599609781372 45.64289072702031)
21,0.0,0.0,0.0,0.0,45.64353700226426,30.634546854323695,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 21:00:00,51,0.0,POINT (30.634546854323695 45.64353700226426)
22,0.0,0.0,0.0,0.0,45.646417925277646,30.625796157507107,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 22:00:00,51,0.0,POINT (30.625796157507107 45.646417925277646)
23,0.0,0.0,0.0,0.0,45.64230880411046,30.61567750657275,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-07 23:00:00,51,0.0,POINT (30.61567750657275 45.64230880411046)
24,0.0,0.0,0.0,0.0,45.63938467505462,30.613334926028124,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 00:00:00,51,0.0,POINT (30.613334926028124 45.63938467505462)
25,0.0,0.0,0.0,0.0,45.63896290246789,30.60682989003982,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 01:00:00,51,0.0,POINT (30.60682989003982 45.63896290246789)
26,0.0,0.0,0.0,0.0,45.63581435455229,30.599811635084343,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 02:00:00,51,0.0,POINT (30.599811635084343 45.63581435455229)
27,0.0,0.0,0.0,0.0,45.632963145936536,30.598248972018418,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 03:00:00,51,0.0,POINT (30.598248972018418 45.632963145936536)
28,0.0,0.0,0.0,0.0,45.62858480142232,30.595494435358244,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 04:00:00,51,0.0,POINT (30.595494435358244 45.62858480142232)
29,0.0,0.0,0.0,0.0,45.62625084070848,30.586527535747056,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 05:00:00,51,0.0,POINT (30.586527535747056 45.62625084070848)
30,0.0,0.0,0.0,0.0,45.62147996360217,30.577817547585536,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 06:00:00,51,0.0,POINT (30.577817547585536 45.62147996360217)
31,0.0,0.0,0.0,0.0,45.6209008074887,30.576463532278456,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 07:00:00,51,0.0,POINT (30.576463532278456 45.6209008074887)
32,0.0,0.0,0.0,0.0,45.62505093668111,30.565483117121538,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 08:00:00,51,0.0,POINT (30.565483117121538 45.62505093668111)
33,0.0,0.0,0.0,0.0,45.62539172935,30.561303142232482,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 09:00:00,51,0.0,POINT (30.561303142232482 45.62539172935)
34,0.0,0.0,0.0,0.0,45.62548942698524,30.559490456708545,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 10:00:00,51,0.0,POINT (30.559490456708545 45.62548942698524)
35,0.0,0.0,0.0,0.0,45.62593939753579,30.551731768882163,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 11:00:00,51,0.0,POINT (30.551731768882163 45.62593939753579)
36,0.0,0.0,0.0,0.0,45.62559482870091,30.55491261987198,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 12:00:00,51,0.0,POINT (30.55491261987198 45.62559482870091)
37,0.0,0.0,0.0,0.0,45.626221718063626,30.55710908816799,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 13:00:00,51,0.0,POINT (30.55710908816799 45.626221718063626)
38,0.0,0.0,0.0,0.0,45.622423597692126,30.555873606451325,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 14:00:00,51,0.0,POINT (30.555873606451325 45.622423597692126)
39,0.0,0.0,0.0,0.0,45.61693368999171,30.55274144402706,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 15:00:00,51,0.0,POINT (30.55274144402706 45.61693368999171)
40,0.0,0.0,0.0,0.0,45.61049389156563,30.557420801776072,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 16:00:00,51,0.0,POINT (30.557420801776072 45.61049389156563)
41,0.0,0.0,0.0,0.0,45.605970556594116,30.570287217308046,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 17:00:00,51,0.0,POINT (30.570287217308046 45.605970556594116)
42,0.0,0.0,0.0,0.0,45.598522169768664,30.575681288956904,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 18:00:00,51,0.0,POINT (30.575681288956904 45.598522169768664)
43,0.0,0.0,0.0,0.0,45.59271552842744,30.588838168012966,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 19:00:00,51,0.0,POINT (30.588838168012966 45.59271552842744)
44,0.0,0.0,0.0,0.0,45.58581957009506,30.59588876932219,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 20:00:00,51,0.0,POINT (30.59588876932219 45.58581957009506)
45,0.0,0.0,0.0,0.0,45.58312581167102,30.606216901409066,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 21:00:00,51,0.0,POINT (30.606216901409066 45.58312581167102)
46,0.0,0.0,0.0,0.0,45.582311271046,30.622143686912377,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 22:00:00,51,0.0,POINT (30.622143686912377 45.582311271046)
47,0.0,0.0,0.0,0.0,45.576957919666576,30.63522759254149,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-08 23:00:00,51,0.0,POINT (30.63522759254149 45.576957919666576)
48,0.0,0.0,0.0,0.0,45.57942482695804,30.64442426393152,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 00:00:00,51,0.0,POINT (30.64442426393152 45.57942482695804)
49,0.0,0.0,0.0,0.0,45.57893452506102,30.651796801845098,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 01:00:00,51,0.0,POINT (30.651796801845098 45.57893452506102)
50,0.0,0.0,0.0,0.0,45.57951015535092,30.657257650640254,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 02:00:00,51,0.0,POINT (30.657257650640254 45.57951015535092)
51,0.0,0.0,0.0,0.0,45.57628640284206,30.6668172402198,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 03:00:00,51,0.0,POINT (30.6668172402198 45.57628640284206)
52,0.0,0.0,0.0,0.0,45.575308002253,30.678009898253233,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 04:00:00,51,0.0,POINT (30.678009898253233 45.575308002253)
53,0.0,0.0,0.0,0.0,45.57635062204585,30.688529411706455,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 05:00:00,51,0.0,POINT (30.688529411706455 45.57635062204585)
54,0.0,0.0,0.0,0.0,45.57815731575829,30.70475817115278,45.599976,30.74658,0.0,45.599976,30.74658,2016-10-09 06:00:00,51,0.0,POINT (30.70475817115278 45.57815731575829)
