obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.20000457763672,30.753765789425174,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 00:00:00,70,0.0,POINT (30.753765789425174 46.20000457763672)
1,0.0,0.0,0.0,0.0,46.19757782175302,30.75496689527011,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 01:00:00,70,0.0,POINT (30.75496689527011 46.19757782175302)
2,0.0,0.0,0.0,0.0,46.193914084322664,30.74909442489561,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 02:00:00,70,0.0,POINT (30.74909442489561 46.193914084322664)
3,0.0,0.0,0.0,0.0,46.1903118947483,30.749352778569616,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 03:00:00,70,0.0,POINT (30.749352778569616 46.1903118947483)
4,0.0,0.0,0.0,0.0,46.18904736670139,30.75001258586161,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 04:00:00,70,0.0,POINT (30.75001258586161 46.18904736670139)
5,0.0,0.0,0.0,0.0,46.187896614314475,30.749165609857222,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 05:00:00,70,0.0,POINT (30.749165609857222 46.187896614314475)
6,0.0,0.0,0.0,0.0,46.1878189575605,30.744676356924842,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 06:00:00,70,0.0,POINT (30.744676356924842 46.1878189575605)
7,0.0,0.0,0.0,0.0,46.18452524343443,30.744703363232503,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 07:00:00,70,0.0,POINT (30.744703363232503 46.18452524343443)
8,0.0,0.0,0.0,0.0,46.18270562810538,30.746216366240613,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 08:00:00,70,0.0,POINT (30.746216366240613 46.18270562810538)
9,0.0,0.0,0.0,0.0,46.17854802186477,30.738530977900524,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 09:00:00,70,0.0,POINT (30.738530977900524 46.17854802186477)
10,0.0,0.0,0.0,0.0,46.17935593820397,30.738846253333133,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 10:00:00,70,0.0,POINT (30.738846253333133 46.17935593820397)
11,0.0,0.0,0.0,0.0,46.17906886110055,30.728594343121536,46.200005,30.753765,0.0,46.200005,30.753765,2016-10-07 11:00:00,70,0.0,POINT (30.728594343121536 46.17906886110055)
