obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.600040435791016,30.75184145210385,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 00:00:00,45,0.0,POINT (30.75184145210385 45.600040435791016)
1,0.0,0.0,0.0,0.0,45.60319275277907,30.755649571785312,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 01:00:00,45,0.0,POINT (30.755649571785312 45.60319275277907)
2,0.0,0.0,0.0,0.0,45.60353830786105,30.74842455944627,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 02:00:00,45,0.0,POINT (30.74842455944627 45.60353830786105)
3,0.0,0.0,0.0,0.0,45.60371894800923,30.749410369237342,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 03:00:00,45,0.0,POINT (30.749410369237342 45.60371894800923)
4,0.0,0.0,0.0,0.0,45.59800503084305,30.744453375424825,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 04:00:00,45,0.0,POINT (30.744453375424825 45.59800503084305)
5,0.0,0.0,0.0,0.0,45.60263922473562,30.74405175105688,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 05:00:00,45,0.0,POINT (30.74405175105688 45.60263922473562)
6,0.0,0.0,0.0,0.0,45.603012350400384,30.74654834762618,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 06:00:00,45,0.0,POINT (30.74654834762618 45.603012350400384)
7,0.0,0.0,0.0,0.0,45.60819108734376,30.748670568894333,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 07:00:00,45,0.0,POINT (30.748670568894333 45.60819108734376)
8,0.0,0.0,0.0,0.0,45.613295215991805,30.745902135734035,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 08:00:00,45,0.0,POINT (30.745902135734035 45.613295215991805)
9,0.0,0.0,0.0,0.0,45.61384387863869,30.746213061543326,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 09:00:00,45,0.0,POINT (30.746213061543326 45.61384387863869)
10,0.0,0.0,0.0,0.0,45.61813652363131,30.743984862643803,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 10:00:00,45,0.0,POINT (30.743984862643803 45.61813652363131)
11,0.0,0.0,0.0,0.0,45.61945185070486,30.747283843835014,45.60004,30.75184,0.0,45.60004,30.75184,2016-10-06 11:00:00,45,0.0,POINT (30.747283843835014 45.61945185070486)
