obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,46.19993591308594,30.747483942050774,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 00:00:00,61,0.0,POINT (30.747483942050774 46.19993591308594)
1,0.0,0.0,0.0,0.0,46.20243290229501,30.751028315027018,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 01:00:00,61,0.0,POINT (30.751028315027018 46.20243290229501)
2,0.0,0.0,0.0,0.0,46.198872773293054,30.757884209685745,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 02:00:00,61,0.0,POINT (30.757884209685745 46.198872773293054)
3,0.0,0.0,0.0,0.0,46.19371228956055,30.75501944954591,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 03:00:00,61,0.0,POINT (30.75501944954591 46.19371228956055)
4,0.0,0.0,0.0,0.0,46.19229054171583,30.755303847958924,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 04:00:00,61,0.0,POINT (30.755303847958924 46.19229054171583)
5,0.0,0.0,0.0,0.0,46.196632032593854,30.753060165273148,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 05:00:00,61,0.0,POINT (30.753060165273148 46.196632032593854)
6,0.0,0.0,0.0,0.0,46.195030305062716,30.758777400290455,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 06:00:00,61,0.0,POINT (30.758777400290455 46.195030305062716)
7,0.0,0.0,0.0,0.0,46.19010929024236,30.758187588408358,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 07:00:00,61,0.0,POINT (30.758187588408358 46.19010929024236)
8,0.0,0.0,0.0,0.0,46.19360581116433,30.75698726328923,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 08:00:00,61,0.0,POINT (30.75698726328923 46.19360581116433)
9,0.0,0.0,0.0,0.0,46.19173968788387,30.7627759447323,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 09:00:00,61,0.0,POINT (30.7627759447323 46.19173968788387)
10,0.0,0.0,0.0,0.0,46.19192182637124,30.763008131202927,46.199936,30.747484,0.0,46.199936,30.747484,2016-10-06 10:00:00,61,0.0,POINT (30.763008131202927 46.19192182637124)
