obs,age,beached,distance_shore,distance_traj,lat,lon,origin_lat,origin_lon,out_of_bounds,prev_lat,prev_lon,time,trajectory,z,geometry
0,0.0,0.0,0.0,0.0,45.600032806396484,30.750087398392047,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 00:00:00,40,0.0,POINT (30.750087398392047 45.600032806396484)
1,0.0,0.0,0.0,0.0,45.60376477476349,30.750530277854565,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 01:00:00,40,0.0,POINT (30.750530277854565 45.60376477476349)
2,0.0,0.0,0.0,0.0,45.59908446964861,30.751556721188898,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 02:00:00,40,0.0,POINT (30.751556721188898 45.59908446964861)
3,0.0,0.0,0.0,0.0,45.600676672955224,30.74702468247877,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 03:00:00,40,0.0,POINT (30.74702468247877 45.600676672955224)
4,0.0,0.0,0.0,0.0,45.59928518125964,30.7484355384046,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 04:00:00,40,0.0,POINT (30.7484355384046 45.59928518125964)
5,0.0,0.0,0.0,0.0,45.596827135024334,30.747113487828624,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 05:00:00,40,0.0,POINT (30.747113487828624 45.596827135024334)
6,0.0,0.0,0.0,0.0,45.59422568361533,30.750151955354298,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 06:00:00,40,0.0,POINT (30.750151955354298 45.59422568361533)
7,0.0,0.0,0.0,0.0,45.59824618277554,30.75309453301304,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 07:00:00,40,0.0,POINT (30.75309453301304 45.59824618277554)
8,0.0,0.0,0.0,0.0,45.59895108863024,30.754047381916077,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 08:00:00,40,0.0,POINT (30.754047381916077 45.59895108863024)
9,0.0,0.0,0.0,0.0,45.599191130456916,30.758928706898967,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 09:00:00,40,0.0,POINT (30.758928706898967 45.599191130456916)
10,0.0,0.0,0.0,0.0,45.59717165284403,30.761605649871797,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 10:00:00,40,0.0,POINT (30.761605649871797 45.59717165284403)
11,0.0,0.0,0.0,0.0,45.59785152744964,30.771180597799376,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 11:00:00,40,0.0,POINT (30.771180597799376 45.59785152744964)
12,0.0,0.0,0.0,0.0,45.59511849549534,30.771056759409834,45.600033,30.750088,0.0,45.600033,30.750088,2016-10-06 12:00:00,40,0.0,POINT (30.771056759409834 45.59511849549534)
